Place,Longitude,Latitude,Uncertain
Ananionenses,-3.3615242,55.174136,No
Batavi,5.8331567,51.8428621,No
Bremesio,-1.677401,54.5368294,Yes
Bremetennacum,-2.5326531,53.8138085,No
Briga,-3.203152,54.8969935,Yes
Cataractonium,-1.720979,54.3685197,No
Cordonovis,1.4122802,51.3839055,Yes
Coria,-2.0216083,54.978997,No
Gallia,2.3470599,48.8588589,No
Isurium,-1.377826,54.0919685,No
Londinium,-0.1015987,51.5286416,No
Luguvalium,-2.9367673,54.899982,No
P.r.so,-0.4778751,53.8744895,Yes
Roma,12.5359979,41.9100711,No
Trever,6.6494598,49.7778813,No
Ulucium,4.602179,50.588832,Yes
Vardulli,-1.973883,43.3072927,No
Vindolanda,-2.3613999,54.9911376,No
Vinovia,-1.6757595,54.652579,No
Massicus,14.000833,41.130833,No
