Tablet,Period,TransactionType,Commodity,Quantity,Price,SupplierSellerCreditor,ReceiverPayer
159,3,redistribution,barley-money,,,Army,Cavalry
178,3,redistribution,revenues of the fort,,80,Army,Unknown
179,3,account,unknown,,274.5625,Unknown,Unknown
180,4,redistribution,wheat,,,hominem transmarinum,hominem transmarinum
180,4,redistribution,wheat,7 modii,,hominem transmarinum,Macrinus
180,4,debt,wheat,26 modii,,hominem transmarinum,Felicius Victor
180,4,redistribution,wheat,19 modii,,hominem transmarinum,father of hominem transmarinum
180,4,redistribution,wheat,13 modii,,hominem transmarinum,Macrinus
180,4,redistribution,wheat,8 modii,,hominem transmarinum,the oxherds at the wood
180,4,redistribution,wheat,3 modii,,hominem transmarinum,Amabilis at the shrine
180,4,redistribution,wheat,3 modii,,hominem transmarinum,Crescens
180,4,redistribution,wheat,,,hominem transmarinum,unknown
180,4,redistribution,wheat,15 modii,,hominem transmarinum,Macr...
180,4,redistribution,wheat,,,hominem transmarinum,Ma...
180,4,redistribution,wheat,2 modii,,hominem transmarinum,father of hominem transmarinum
180,4,redistribution,wheat,6 modii,,hominem transmarinum,Lu... the beneficarius
180,4,redistribution,wheat,15 modii,,hominem transmarinum,Felicius Victor
180,4,redistribution,wheat,2 modii,,hominem transmarinum,you
180,4,redistribution,wheat,9 modii,,hominem transmarinum,Crescens
180,4,redistribution,wheat,11 modii,,hominem transmarinum,legionary soldiers
180,4,redistribution,wheat,,,hominem transmarinum,Candidus
180,4,redistribution,wheat,,,hominem transmarinum,you
180,4,redistribution,wheat,,,hominem transmarinum,you
180,4,redistribution,wheat,,,hominem transmarinum,"Lucco, in charge of the pigs"
180,4,redistribution,wheat,,,hominem transmarinum,"Primus, slave of Lucius"
180,4,redistribution,wheat,,,hominem transmarinum,you
180,4,redistribution,wheat,,,hominem transmarinum,Lucco
180,4,redistribution,wheat,,,hominem transmarinum,unknown
180,4,redistribution,wheat,,,hominem transmarinum,father of hominem transmarinum
180,4,redistribution,wheat,,,hominem transmarinum,hominem transmarinum
181,4,payment,sundries,,2,hominem transmarinum,Candidus
181,4,payment,timber,,7,hominem transmarinum,Candidus
181,4,payment,tunic,1,3,hominem transmarinum,Candidus
181,4,payment,unknown,,,hominem transmarinum,Tetricus
181,4,payment,unknown,,2.5,hominem transmarinum,Primus
181,4,payment,unknown,,10,hominem transmarinum,"Alio, the veterinary doctor"
181,4,payment,unknown,,3,hominem transmarinum,"Vitalis, the bath man"
181,4,debt,unknown,,7,hominem transmarinum,Ingenuus
181,4,debt,unknown,,3,hominem transmarinum,Acranius
181,4,debt,unknown,,7,hominem transmarinum,Vardullian cavalrymen
181,4,debt,unknown,,3,hominem transmarinum,"companion of Tagamatis, the flagbearer"
182,4,payment,unknown,15 modii,12.1875,author 182,bugler
182,4,debt,sundries,,2.125,author 182,bugler
182,4,payment,unknown,,38.625,author 182,"Sabinus, from Trier"
182,4,debt,bacon,,13,author 182,Ircucisso
182,4,debt,bacon and bacon-lard,60.5 pondii,8.25,author 182,"Felicio, the centurion"
182,4,payment,sundries,,6.25,"Felicio, the centurion",author 182
182,4,debt,unknown,,,author 182,Vattus
182,4,payment,horse,1,,author 182,Victor
182,4,payment,unknown,,,author 182,"Exomnius, the centurion"
182,4,debt,iron,,,author 182,"Atrectus, the brewer"
182,4,debt,pork-fat,,11.25,author 182,"Atrectus, the brewer"
182,4,debt,unknown,,,author 182,Andecarus
182,4,debt,unknown,,,author 182,Sanctus
182,4,debt,unknown,,2.0625,author 182,...arius
182,4,debt,unknown,,2.5,author 182,unknown
182,4,debt,unknown,,0.58,author 182,Sautenus
182,4,debt,unknown,,,author 182,Varia...
